net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,자산총계,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,지배주주 귀속순이익률(%)(지배주주순이익 / 영업수익) * 100지배주주순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12,,,0,,,,727,172,554,554,0,32,31.06,"1,656.19",,,,,0,"8,781",,,2.28,"6,314",
2023/03,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12,,,,,,,,,,,,,,,,,,,,,,,,,
2024/03,,,,,,,,,,,,,,,,,,,,,,,,,
2024/06,,,,,,,,,,,,,,,,,,,,,,,,,
